email,phonenumbers,address,name,yearborn,Number_of_kids,Categorical_Value,Annual_Income,Number_of_Speeding_Tickets
youngjuan@gmail.com,+1-309-766-3698x783,"665 Johnson Key
Port Kimberly, MS 96226",David Scott,1943-07-01,1,Own,68951,12
laura40@gmail.com,+1-206-873-7390x885,"3732 Sonya Creek
Reginaview, UT 72899",Joseph Moore,2001-03-25,2,Own,4341,7
carterthomas@clark.com,669.272.5064x105,"498 Martinez Street
West Stephaniehaven, KS 01123",Angela Stevens,1962-12-31,1,Own,52163,2
daniel01@li-cook.com,434.399.1761,"53408 Henderson Stream
Amberland, OR 18544",Tami Prince,1983-04-17,0,Own,87042,1
jorge26@howard-golden.com,001-633-400-4798x85594,"411 Gibson Greens
Kathyland, MN 27853",Hayley Floyd,1912-12-23,3,Own,39587,7
strongfrances@hotmail.com,634.777.8702,"4324 Larsen Turnpike
Gardnershire, MT 86450",Kathy Foster,1992-08-20,0,Rent,77894,11
barbara04@hotmail.com,418-053-2467x28065,"USNV Luna
FPO AA 24080",Joann Clark,1948-01-28,2,Rent,41894,12
jameslane@brown.com,1383001994,"6015 Jason Dale
New Nicole, CA 59145",Danielle Vasquez,2014-12-07,4,Rent,81637,13
ubond@berg.com,6804569330,"593 Tiffany Locks
Amberhaven, NV 98416",Mrs. Olivia Shah DDS,1942-02-20,2,Rent,4461,8
christopher36@nelson.com,+1-955-391-4736,"7585 Smith Motorway Apt. 576
South David, OK 38429",James Owen,2019-07-03,4,Own,15822,3
kthompson@mcguire.org,491-323-1430x10653,"572 Mitchell Falls
West Kathychester, ME 82125",Jacqueline Villanueva,2019-12-12,0,Own,82251,7
brios@carter-cruz.biz,001-119-988-0317x70334,"1517 Lloyd Plain
Colemanbury, AZ 30633",Rachel Padilla,1935-09-23,0,Rent,46452,14
danielle10@yahoo.com,729.094.4564x2098,"62719 Joseph Shore
West Andrewton, GA 61357",Robert Murray,2016-08-08,3,Own,43276,0
ramirezbecky@marks-mullen.net,001-103-425-3175,"23702 Rodriguez Walk Suite 799
Juarezmouth, CA 38403",Jason Graham,1940-12-24,0,Own,48891,0
byrddavid@daniel.info,132-029-7465x71567,"Unit 2387 Box 9971
DPO AE 52186",Rebecca Wolf,2007-11-25,4,Own,85175,3
zbrooks@hotmail.com,833-244-6725,"3435 Crystal Key Apt. 629
Parkerville, VT 19921",Mary Pearson,1976-12-13,3,Rent,70410,8
fmyers@hotmail.com,135-615-8791,"2778 Christina Dam Suite 611
Robbinsberg, TN 51322",Renee Sanchez,1948-10-30,4,Rent,60930,5
kristen10@gmail.com,001-498-325-1557x6251,"PSC 6432, Box 6190
APO AA 34289",Samantha Jenkins,1915-04-01,1,Own,70526,14
oscar91@cooper.com,+1-136-689-7487x999,"389 Phillips Union
Alexandermouth, AZ 59398",Christina Joseph,1914-07-21,3,Rent,59493,14
villanuevasandra@black.net,(358)583-1333,"40287 James Lane
Kingmouth, MA 87267",Linda Gay,1997-11-07,0,Own,52432,13
